id;title
aaltd;Workshop on Advanced Analytics and Learning on Temporal Data (AALTD)
ifip12;Professional Practice in Artificial Intelligence (PPAI)
candc;Creativity & Cognition
apwcs;Asia-Pacific Conference on Wearable Computing Systems (APWCS)
icconscs;International Conference on Systems and Computer Science (ICSCS)
ebiss;European Business Intelligence Summer School (eBISS)
latincloud;Latin American Conference on Cloud Computing and Communications (LatinCloud)
assets;International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS)
sbia;Brazilian Symposium on Artificial Intelligence (SBIA)
sigite;Conference on Information Technology Education (SIGITE)
iqsp;Image Quality and System Performance (IQSP)
edoc;IEEE International Enterprise Distributed Object Computing Conference (EDOC)
icuimc;International Conference on Ubiquitous Information Management and Communication (IMCOM)
ecmdafa;European Conference on Modelling Foundations and Applications (ECMFA)
ivs;IEEE Intelligent Vehicles Symposium (IV)
appis;Applications of Intelligent Systems (APPIS)
swisstext;Swiss Text Analytics Conference (SwissText)
ersa;International Conference on Engineering of Reconfigurable Systems and Algorithms (ERSA)
ewcbr;European Conference on Case-Based Reasoning (ECCBR)
ivmsp;Image Video and Multidimensional Signal Processing Workshop (IVMSP)
icaa;International Conference on Applied Algorithms (ICAA)
icaart;International Conference on Agents and Artificial Intelligence (ICAART)
datamod;International SymposiumFrom Data to Models and Back (DataMod)
cit;OITS International Conference on Information Technology (OCIT)
ccc2;Cybersecurity and Cyberforensics Conference (CCC)
icse-suite;ICSE Workshop on Search-driven Development Users Infrastructure Tools and Evaluation (SUITE)
jtres;Java Technologies for Real-time and Embedded Systems (JTRES)
ab;Algebraic Biology (AB)
mcm2;Mathematics and Computation in Music (MCM)
imf;International Conference on IT-Incidents Management & IT-Forensics (IMF)
devops-ws;International Workshop on Software Engineering Aspects of Continuous Development and New Paradigms of Software Production and Deployment (DEVOPS)
cloudnet;IEEE International Conference on Cloud Networking (CloudNet)
fcrc;Federated Computing Research Conference (FCRC)
mipr;Conference on Multimedia Information Processing and Retrieval (MIPR)
coordination;International Conference on Coordination Models and Languages (COORDINATION)
tainn;Turkish Symposium on Artificial Intelligence and Neural Networks (TAINN)
edcc;European Dependable Computing Conference (EDCC)
gir;Workshop on Geographic Information Retrieval (GIR)
kes;International Conference on Knowledge-Based Intelligent Information & Engineering Systems (KES)
etaa;International Workshop Emerging Technologies for Authorization and Authentication (ETAA)
etvc;Emerging Trends in Visual Computing (ETVC)
iwsos;International Workshop on Self-Organizing Systems (IWSOS)
globecom;Global Communications Conference (GLOBECOM)
soups;Symposium On Usable Privacy and Security (SOUPS)
dbkda;International Conference on Advances in Databases Knowledge and Data Applications (DBKDA)
acisp;Australasian Conference on Information Security and Privacy (ACISP)
eurfid;International EURASIP Workshop on RFID Technology (EURFID)
amta;Conference of the Association for Machine Translation in the Americas (AMTA)
biowire;Bio-Inspired Design of Networks (BIOWIRE )
isbdai;International Conference on Big Data and Artificial Intelligence (ISBDAI)
primium;Process Innovation for Enterprise Software (PRIMIUM)
eurorvvv-ws;EuroVis Workshop on Trustworthy Visualization (TrustVis)
uist;ACM Symposium on User Interface Software and Technology (UIST)
snc;Symbolic-Numeric Computation (SNC)
door;International Conference on Discrete Optimization and Operations Research (DOOR)
acm;ACM Annual Conference
digibiz;Digital Business (DigiBiz)
pst;Conference on Privacy Security and Trust (PST)
haskell;ACM SIGPLAN International Symposium on Haskell (Haskell)
rocks;Rigorous Dependability Analysis Using Model Checking Techniques for Stochastic Systems
indiaSE;Innovations on Software Engineering Conference (ISEC)
applepies;Applications in Electronics Pervading Industry Environment and Society (ApplePies)
icita;International Conference in IT & Application (ICITA)
inista;International Symposium on INnovations in Intelligent SysTems and Applications (INISTA)
cogsci;Annual Meeting of the Cognitive Science Society (CogSci)
simpda;International Symposium on Data-Driven Process Discovery and Analysis (SIMPDA)
swm;Software Management
pia;ISPRS Conference on Photogrammetric Image Analysis (PIA)
stacs;Symposium on Theoretical Aspects of Computer Science (STACS)
ntms;International Conference on New Technologies Mobility and Security (NTMS)
ifip6;Autonomic Networking (AN)
sle;Software Language Engineering (SLE)
ccris;International Conference on Control Robotics and Intelligent System (CCRIS)
icores;International Conference on Operations Research and Enterprise Systems (ICORES)
ihci;International Conference on Intelligent Human Computer Interaction (IHCI)
tailor;International Workshop on Trustworthy AI - Integrating Learning Optimization and Reasoning (TAILOR)
dial;Document Image Analysis for Libraries (DIAL)
jva;John Vincent Atanasoff Symposium (JVA)
epart;Electronic Participation (ePart)
uxtv;International Conference on Designing Interactive User Experiences for TV and Video (UXTV)
macis;International Conference on Mathematical Aspects of Computer and Information Sciences (MACIS)
icse-apr;Workshop on Automated Program Repair (APR)
ifip11-4;Open Research Problems in Network Security (iNetSeC)
cvm;International Conference on Computational Visual Media (CVM)
rivf;Conference on Research Innovation and Vision for the Future in Computing & Communication Technologies (RIVF)
metroi;Workshop on Metrology for Industry 4.0 and IoT (MetroInd4.0&IoT)
becb;International Symposium on Biomedical Engineering and Computational Biology (BECB)
armor;European Workshop on AppRoaches to MObiquitous Resilience (ARMOR)
wadt;Redirecting ...
ccpr;Chinese Conference on Pattern Recognition (CCPR)
cisched;IEEE Symposium on Computational Intelligence in Scheduling (CISched)
isips;Interdisciplinary Studies in Information Privacy and Security (ISIPS)
bigdatase;International Conference on Big Data Science and Engineering (BigDataSE)
ptai;Conference on Philosophy and Theory of Artificial Intelligence (PT-AI)
dmrs;International Workshop on Decision Making and Recommender Systems (DMRS)
euroimsa;Internet Multimedia Systems and Applications (EuroIMSA)
icsibo;International Conference on Swarm Intelligence Based Optimization (ICSIBO)
rtip2r;International Conference on Recent Trends in Image Processing and Pattern Recognition (RTIP2R)
iccst;International Carnahan Conference on Security Technology (ICCST)
qshine;Quality of Service in Heterogeneous Wired/Wireless Networks (QSHINE)
acit4;International Conference on Advanced Computer Information Technologies (ACIT)
icphs;International Congress of Phonetic Sciences (ICPhS)
icmlc;International Conference on Machine Learning and Cybernetics (ICMLC)
codit;International Conference on Control Decision and Information Technologies (CoDIT)
iwseco;International Workshop on Software Ecosystems (IWSECO)
yawl;YAWL Symposium
mobserv;IEEE International Conference on Mobile Services (MS)
acssc;Asilomar Conference on Signals Systems and Computers (ACSCC)
etfa;IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)
ondm;International Conference on Optical Network Design and Modelling (ONDM)
ifip5-5;Working Conference on Virtual Enterprises (PRO-VE)
ws;ACM Workshop on Wireless Security (WISE)
haicta;International Conference on Information and Communication Technologies for Sustainable Agri-production and Environment (HAICTA)
istas;International Symposium on Technology and Society (ISTAS)
mmm;Conference on Multimedia Modeling (MMM)
digitalCities;Digital Cities
iccwcs;International Conference on Computing and Wireless Communication Systems (ICCWCS)
specom;International Conference on Speech and Computer (SPECOM)
ppdp;ACM-SIGPLAN International Conference on Principles and Practice of Declarative Programming (PPDP)
meditcom;International Mediterranean Conference on Communications and Networking (MeditCom)
omnet;OMNeT++ Community Summit (OMNeT++)
siie;International Symposium on Computers in Education (SIIE)
vcip;Visual Communications and Image Processing (VCIP)
argmas;Argumentation in Multi-Agent Systems (ArgMAS)
procams;International Workshop on Projector-Camera Systems (PROCAMS)
wads;Workshop on Algorithms and Data Structures (WADS)
mipro;International Convention on Information and Communication Technology Electronics and Microelectronics (MIPRO)
grec;IAPR International Workshop on Graphics Recognition (GREC)
mobide;ACM International Workshop on Data Engineering for Wireless and Mobile Access (MobiDE)
maveba;International Workshop on Models and Analysis of Vocal Emissions for Biomedical Applications (MAVEBA)
whispers;Workshop on Hyperspectral Image and Signal Processing (WHISPERS)
sruti;Workshop on Steps to Reducing Unwanted Traffic on the Internet (SRUTI)
icns;International Conference on Networking and Services (ICNS)
secdev;IEEE Cybersecurity Development (SecDev)
scam;IEEE Working Conference on Source Code Analysis and Manipulation (SCAM)
compgeom;International Symposium on Computational Geometry (SoCG)
icsm;IEEE International Conference on Software Maintenance and Evolution (ICSME)
icse-formalise;FME Workshop on Formal Methods in Software Engineering (FormaliSE)
ubimob;Journées Francophones Mobilité et Ubiquité (UbiMob)
cscml;International Conference on Cyber Security Cryptography and Machine Learning (CSCML)
aaecc;International Symposium on Applied Algebra Algebraic Algorithms and Error-Correcting Codes (AAECC)
telexbe;Workshop on Technology Enhanced Learning Environments for Blended Education (teleXbe)
vinci;International Symposiu on Visual Information Communication and Interaction (VINCI)
psec;Formal to Practical Security
ict4ageingwell;International Conference on Information and Communication Technologies for Ageing Well and e-Health (ICT4AWE)
cwords;International Conference on Combinatorics on Words (WORDS)
dics;DICS Program (DICS)
ecsi;European Conference on Social Intelligence (ECSI)
itib;International Conference on Information Technologies in Biomedicine (ITIB)
iscc;International Symposium on Computers and Communications (ISCC)
fiw;International Conference on Feature Interactions in Software and Communication Systems (ICFI)
icncc;International Conference on Network Communication and Computing (ICNCC)
wea;Symposium on Experimental and Efficient Algorithms (SEA)
fwc;Fog World Congress (FWC)
ecai;European Conference on Artificial Intelligence (ECAI)
nesy;International Workshop on Neural-Symbolic Learning and Reasoning (NeSy)
ims2;Internet and Modern Society (IMS)
iscsic;International Symposium on Computer Science and Intelligent Control (ISCSIC)
bioma;International Conference on Bioinspired Optimization Methods and Their Applications (BIOMA)
sibdata;Siberian Scientific Workshop on Data Analysis Technologies with Applications (SibDATA)
splc;Software Product Lines Conference (SPLC)
iccvg;International Conference on Computer Vision and Graphics (ICCVG)
acsac;Annual Computer Security Applications Conference (ACSAC)
icia;Interaction Challenges for Intelligent Assistants
afl;International Conference on Automata and Formal Languages (AFL)
animalci;International Conference on Animal-Computer Interaction (ACI)
rtsi;IEEE Forum on Research and Technologies for Society and Industry Innovation (RTSI)
swste;IEEE International Conference on Software Science Technology and Engineering (SwSTE)
mlhc;Machine Learning in Health Care (MLHC)
hotos;USENIX Workshop on Hot Topics in Operating Systems (HotOS)
icaic;International Conference on Applied Informatics and Communication (ICAIC)
pts;International Conference on Testing Software and Systems (ICTSS)
dsit;International Conference on Data Science and Information Technology (DSIT )
hytra;Workshop on Hybrid Approaches to Translation (HyTra)
kit;Karlsruhe Institute of Technology - Proceedings (KIT)
efmi-stc;EFMI Special Topic Conference (EFMI-STC)
grmse;International Conference on Geo-informatics in Sustainable Ecosystem and Society (GSES)
ecml;European Conference on Machine Learning (ECML)
norchip;Nordic Microelectronics Event (NORCHIP)
healthyIoT;International Conference on Internet of Things Technologies for HealthCare (HealthyIoT)
mocast;International Conference on Modern Circuits and Systems Technologies (MOCAST)
icws;IEEE International Conference on Web Services (IEEE ICWS)
repeval;Workshop on Evaluating Vector-Space Representations for NLP (RepEval)
fnms;Future Network & Mobile Summit
waifi;International Workshop on Arithmetic of Finite Fields (WAIFI)
ai4i;International Conference on Artificial Intelligence for Industries (AI4I)
mtsr;International Conference on Metadata and Semantics Research (MTSR)
dsmp;International Conference on Data Stream Mining & Processing (DSMP)
rsp;International Workshop on Rapid System Prototyping (RSP)
icfie;International Conference of Fuzzy Information and Engineering (ICFIE)
smap;International Workshop on Semantic and Social Media Adaptation and Personalization (SMAP)
ktw;Knowledge Technology Week (KTW)
mobis;Modellierung betrieblicher Informationssyeme (MobIS)
eurocast;International Conference/Workshop on Computer Aided Systems Theory (EUROCAST)
mcta;Mobile Commerce Technologien und Anwendungen (MCTA)
icexss;International Conference on Exploring Services Science (IESS)
upp;Unconventional Programming Paradigms (UPP)
icitam;International Conference on Information Technology and Applied Mathematics (ICITAM)
sca2;International Conference on Smart City Applications (SCA)
bertinoro;Bertinoro Workshops
mmbia;Workshop on Mathematical Methods in Biomedical Image Analysis (MMBIA)
ricai;International Conference on Robotics Intelligent Control and Artificial Intelligence (RICAI)
mwcn;Wireless and Mobile Networking Conference (WMNC)
ice-itmc;International Conference on Engineering Technology and Innovation (ICE/ITMC)
ictas;Conference on Information Communications Technology and Society (ICTAS)
ches;Conference on Cryptographic Hardware and Embedded Systems (CHES)
itits;International Conference on Information Technology and Intelligent Transportation Systems (ITITS)
sace;IFAC Symposium on Advances in Control Education (ACE)
cecc;Central European Cybersecurity Conference (CECC)
mendel;International Conference on Soft Computing MENDEL (MENDEL)
tfm;Teaching Formal Methods (TFM)
eccb;European Conference on Computational Biology (ECCB)
geoinformatik;Geoinformatik
icw;International Conference on Systems Communications
alife;International Conference on the Synthesis and Simulation of Living Systems (ALIFE)
ttcs;International Conference on Topics in Theoretical Computer Science (TTCS)
ipps;IEEE International Parallel and Distributed Processing Symposium (IPDPS)
ics;International Conference on Supercomputing (ICS)
acl-trac;Workshop on Trolling Aggression and Cyberbullying (TRAC)
sate;International Conference on Software Analysis Testing and Evolution (SATE)
iwips;International Workshop on Internationalization of Products and System (IWIPS)
sensappeal;Sensor Applications Experimentation and Logistics (SENSAPPEAL)
ctte;Conference of Telecommunication Media and Internet Techno-Economics (CTTE)
achi;International Conference on Advances in Computer-Human Interaction (ACHI)
epos;Epistemological Aspects of Computer Simulation in the Social Sciences (EPOS)
bioms;IEEE Workshop on Biometric Measurements and Systems for Security and Medical Applications (BioMS)
jit;Net.ObjectDays (NODe)
ncma;Workshop on Non-Classical Models for Automata and Applications (NCMA)
nostradamus;Nostradamus Conference (Nostradamus)
lcn;IEEE Conference on Local Computer Networks (LCN)
its;International Conference on Intelligent Tutoring Systems (ITS)
iwow;International Workshop on Optical Wireless Communications (IWOW)
atsip;International Conference on Advanced Technologies for Signal and Image Processing (ATSIP)
ist;International Conference on Imaging Systems and Techniques (IST)
carr;Workshop on Context-awareness in Retrieval and Recommendation (CaRR)
service;International Conference on Service Science (ICSS)
apnoms;Asia-Pacific Network Operations and Management Symposium (APNOMS)
minenet;Annual ACM Workshop on Mining Network Data (MineNet)
gsem;Grid Services Engineering and Management (GSEM)
ew;European Wireless
aims2;International Conference on Artificial Intelligence and Mobile Services (AIMS)
fsr;International Conference on Field and Service Robotics (FSR)
iciar;International Conference on Image Analysis and Recognition (ICIAR)
hhai;International Conference on Hybrid Human-Artificial Intelligence (HHAI)
nabic;Too Many Requests
mud;International VLDB workshop on Management of Uncertain Data (MUD)
tgc;Trustworthy Global Computing (TGC)
iwsg;International Workshop on Science Gateways
vecims;IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems (VECIMS)
automata;International Workshop on Cellular Automata and Discrete Complex Systems (AUTOMATA)
icist;International Conference on Information and Software Technologies (ICIST)
mesoca;International Workshop/Symposium on the Maintenance and Evolution of Service-Oriented and Cloud-Based Systems (MESOCA)
soco;International Conference on Software Composition (SC)
ngits;Next Generation Information Technologies and Systems (NGITS)
tst;Conference on Transport Systems Telematics (TST)
iwci;International Joint Conference on Computational Intelligence (IJCCI)
iccpol;International Conference on the Computer Processing of Oriental Languages (ICCPOL)
programming;International Conference on the Art Science and Engineering of Programming (Programming)
iccad;International Conference on Computer Aided Design (ICCAD)
rrnr;International Conference on Non-integer Order Calculus and Its Applications (RRNR)
taros;Towards Autonomous Robotic Systems (TAROS)
disappearing;Disappearing Computer
c3s2e;Canadian Conference on Computer Science & Software Engineering (C3S2E)
gandalf;International Symposium on Games Automata Logics and Formal Verification (GandALF)
tbillc;Tbilisi Symposium on Logic Language and Computation (TbiLLC)
cpsn;International Conference on Computers for People with Special Needs (CPSN)
spde;International Conference on Security and Privacy in Digital Economy (SPDE)
acl-ldl;Workshop on Linked Data in Linguistics (LDL)
eatis;Euro American Conference on Telematics and Information Systems (EATIS)
siamcsc;Workshop on Combinatorial Scientific Computing (CSC)
cnsr;Conference on Communication Networks and Services Research (CNSR)
macro;International Conference on Recent Achievements in Mechatronics Automation Computer Sciences and Robotics (MACRo)
wscg;International Conference in Central Europe on Computer Graphics and Visualization  (WSCG)
nids;International Conference on Novelties in Intelligent Digital Systems (NiDS)
hotcloud;USENIX Workshop on Hot Topics in Cloud Computing (HotCloud)
ichit;International Conference on Hybrid Information Technology (ICHIT)
iiswc;IEEE International Symposium on Workload Characterization (IISWC)
profitai;International Workshop of IT-professionals on Artificial Intelligence (ProfIT AI)
coins;International Conference on Omni-Layer Intelligent Systems (COINS)
optima;International Conference on Optimization and Applications (OPTIMA)
jcdcg;Japan Conference on Discrete and Computational Geometry Graphs and Games (JCDCG^3)
cslaw;Symposium on Computer Science and Law (CSLAW)
dsai;International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion (DSAI)
provsec;Provable Security (ProvSec)
refsq;Requirements Engineering Foundation for Software Quality (REFSQ)
jmlc;Joint Modular Languages Conference (JMLC)
ssci;IEEE Symposium Series on Computational Intelligence (SSCI)
cpsna;International Conference on Cyber-Physical Systems Networks and Applications (CPSNA)
agi;Conference on Artificial General Intelligence (AGI)
isda;International Conference on Intelligent Systems Design and Applications (ISDA)
icfet;International Conference on Frontiers of Educational Technologies (ICFET)
rtas;IEEE Real Time Technology and Applications Symposium (RTAS)
cscloud;International Conference on Cyber Security and Cloud Computing (CSCloud)
qest;International Conference on Quantitative Evaluation of Systems (QEST)
crisis;International Conference on Risks and Security of Internet and Systems (CRiSIS)
ec2nd;European Conference on Computer Network Defense (EC2ND)
aiucd;AIUCD Annual Conference on Humanities and Their Methods in the Digital Ecosystem (AIUCD)
iccoms;IEEE International Conference on Communication Systems (ICCS)
wadgmm;Workshop on Applications of Discrete Geometry and Mathematical Morphology (WADGMM)
acda;Conference on Applied and Computational Discrete Algorithms (ACDA)
icws2;International Conference on Web Services (ICWS)
iwaal;International Workshop on Ambient Assisted Living and Home Care (IWAAL)
cipls;IEEE Workshop on Computational Intelligence In Production And Logistics Systems (CIPLS)
sdh;International Symposium on Spatial Data Handing (SDH)
cacic;Argentine Congress of Computer Science (CACIC)
cpsschool;CPS Summer School
ilp;International Conference on Inductive Logic Programming (ILP)
csnet;Cyber Security in Networking Conference (CSNet)
jist;International Joint Conference on Knowledge Graphs (IJCKG)
wscad;Symposium on High Performance Computing Systems (WSCAD)
mike;International Conference on Mining Intelligence and Knowledge Exploration (MIKE)
enviroinfo;International Conference on Informatics for Environmental Protection (EnviroInfo)
amma;Auctions Market Mechanisms and Their Applications (AMMA)
irps;IEEE International Reliability Physics Symposium (IRPS)
dsml;Workshop on Domain-Specific Modeling Languages (DSML)
wlp;Workshop Logische Programmierung (WLP)
wf-iot;World Forum on Internet of Things (WF-IoT)
metainformatics;Metainformatics
ilrn;International Conference on Immersive Learning Research Network (iLRN)
ozchi;Australasian Computer-Human Interaction Conference (OZCHI)
llvmhpc;Workshop on the LLVM Compiler Infrastructure in HPC (LLVM-HPC)
iastedCCS;Circuits Signals and Systems (CCS)
icds;International Conference on the Digital Society (ICDS)
teachml;Teaching Machine Learning Workshop
goodit;Conference on Information Technology for Social Good (GoodIT)
aimsa;Artificial Intelligence Methodology Systems Applications (AIMSA)
ifip3-7;Information Technology in Educational Management (ITEM)
mtits;International Conference on Models and Technologies for Intelligent Transportation Systems (MT-ITS)
aces;International Conference on Advances in Cybersecurity (ACeS)
icch;International Conference on Computerized Healthcare (ICCH)
hotnets;ACM Workshop on Hot Topics in Networks (HotNets)
wiw;WSMO Implementation Workshop (WIW)
imsccs;International Multi-Symposium of Computer and Computational Sciences (IMSCCS)
bcshci;British Computer Society Conference on Human-Computer Interaction (BCS HCI)
ispw;International Conference on Software and Systems Process (ICSSP)
compimage;Computational Modeling of Objects Represented in Images (CompIMAGE)
cason;Computational Aspects of Social Networks (CASoN)
eknow;International Conference on Information Process and Knowledge Management (eKNOW)
hciaero;International Conference on Human-Computer Interaction in Aerospace (HCI-Aero)
mlsb;International Workshop on Machine Learning in Systems Biology (MLSB)
aafd;Apprentissage Artificiel et Fouille de Données (AAFD)
easc;Exascale Applications and Software Conference (EASC)
dmbd;International Conference on Data Mining and Big Data (DMBD)
isspa;International Conference on Information Sciences Signal Processing and their Applications (ISSPA)
isqed;IEEE International Symposium on Quality Electronic Design (ISQED)
arith;IEEE Symposium on Computer Arithmetic (ARITH)
fia;Future Internet Assembly
icon;IEEE International Conference on Networks (ICON)
iiki;International Conference on Identification Information and Knowledge in the Internet of Things (IIKI)
icccnt;International Conference on Computing Communication and Networking Technologies (ICCCNT)
aiml2;International Conference on AI-ML-Systems (AIMLSystems)
mobilware;Mobile Wireless Middleware Operating Systems and Applications (MOBILWARE)
enic;European Network Intelligence Conference (ENIC)
iwpacbb;International Workshop on Practical Applications of Computational Biology and Bioinformatics (IWPACBB)
diagrams;Diagrams
mibam;Medical Imaging Biomedical Applications in Molecular Structural and Functional Imaging
aiipcc;International Conferences on Artificial Intelligence Information Processing and Cloud Computing (AIIPCC)
bled;Bled eConference
icwmc;International Conference on Wireless and Mobile Communications (ICWMC)
IEEEcloud;IEEE International Conference on Cloud Computing (CLOUD)
nfvsdn;Conference on Network Function Virtualization and Software Defined Network (NFV-SDN)
igisc;International Conference on Geospatial Information Sciences (iGISc)
icmcs;IEEE International Conference on Multimedia and Expo (ICME)
sec;IFIP International Information Security Conference (SEC)
wob;Brazilian Symposium on Bioinformatics (BSB)
iciot;International Congress on Internet of Things (ICIOT)
europhras;International Conference on Computational and Corpus-Based Phraseology (Europhras)
mfcs;International Symposium on Mathematical Foundations of Computer Science (MFCS)
vdat;International Symposium on VLSI Design and Test (VDAT)
ascat;Asian Symposium on Cellular Automata Technology (ASCAT)
mmsp;IEEE International Workshop on Multimedia Signal Processing (MMSP)
aitest;International Conference on Artificial Intelligence Testing (AITest)
ifip6-6;EUNICE Open European Summer School (EUNICE)
heart;International Symposium on Highly Efficient Accelerators and Reconfigurable Technologies (HEART)
clip-ws;International Workshop on Clinical Image-Based Procedures (CLIP)
bdccf;CCF Conference Big Data (Big Data (CCF))
niles;Novel Intelligent and Leading Emerging Sciences Conference (NILES)
inoc;International Network Optimization Conference (INOC)
dsn;Dependable Systems and Networks (DSN)
mc;Mensch & Computer
dgo;(Inter)National Conference on Digital Government Research (DG.O)
gd;International Symposium Graph Drawing and Network Visualization (GD)
apsipa;Asia-Pacific Signal and Information Processing Association Annual Summit and Conference (APSIPA)
vcbm;Eurographics Workshop on Visual Computing for Biomedicine (VCBM)
nanoarch;IEEE/ACM International Symposium on Nanoscale Architectures (NANOARCH)
acl-lchange;Workshop on Computational Approaches to Historical Language Change (LChange)
lanoms;Latin American Network Operations and Management Symposium (LANOMS)
tear;Trends in Enterprise Architecture Research (TEAR)
recosoc;Reconfigurable Communication-centric Systems-on-Chip (ReCoSoC)
icon-nlp;International Conference on Natural Language Processing (ICON)
iwac;International Workshop on Annotation for Collaboration - Methods Tools and Practices (IWAC)
issre;IEEE International Symposium on Software Reliability Engineering (ISSRE)
wifs;International Workshop on Information Forensics and Security (WIFS)
cgc;International Conference on Cloud and Green Computing (CGC)
cmg;CMG IMPACT Conference
itc;International Test Conference (ITC)
pasm;International Workshop on the Practical Application of Stochastic Modelling (PASM)
ialp;International Conference on Asian Language Processing (IALP)
sip;Signal and Image Processing (SIP)
promisews;PROMISE Winter School (PROMISE)
cilc;Italian Conference on Computational Logic (CILC)
cods;ACM IKDD Conference on Data Science (CODS)
cav;International Conference on Computer Aided Verification (CAV)
imtci;Intelligent Media Technology for Communicative Intelligence (IMTCI)
itag;International Conference on Interactive Technologies and Games (iTAG)
iciss;International Conference on Information Systems Security (ICISS)
digra;Conference of the Digital Games Research Association (DIGRA)
usab;Symposium of the Workgroup Human-Computer Interaction and Usability Engineering of the Austrian Computer Society (USAB)
eles;E-Learning Symposium
iip;IFIP International Conference on Intelligent Information Processing (IIP)
ejc;European-Japanese Conference on Information Modelling and Knowledge Bases (EJC)
eclipse;Eclipse Technology eXchange (ETX)
eisic;European Intelligence and Security Informatics Conference (EISIC)
spit;International Joint Conference on Signal Processing and Information Technology (SPIT)
qlsc;Quantitative Logic and Soft Computing (QLSC)
fnss;International Conference on Future Network Systems and Security (FNSS)
isdevel;Information Systems Development (ISD)
fetlt;International Workshop on Future and Emergent Trends in Language Technology (FETLT)
aplas;Asian Symposium on Programming Languages and Systems (APLAS)
adhs;IFAC Conference on Analysis and Design of Hybrid Systems (ADHS)
waspaa;IEEE Workshop on Applications of Signal Processing to Audio and Acoustics (WASPAA)
EUprojects;EU Projects
citc;Conference on Information-Theoretic Cryptography (ITC)
emv;Elektromagnetische Verträglichkeit (EMV)
aims;Autonomous Infrastructure Management and Security (AIMS)
icse-seh;International Workshop on Software Engineering in Healthcare (SEH)
alcosp;International Workshop on Adaptation and Learning in Control and Signal Processing (ALCOSP)
mis4tel;International Conference on Methodologies and Intelligent Systems for Technology Enhanced Learning (MIS4TEL)
icit;International Conference on Information Technology (ICIT)
iastedSE;IASTED Conference on Software Engineering (SE)
irc;International Conference on Robotic Computing (IRC)
ppsc;SIAM Conference on Parallel Processing for Scientific Computing (PPSC )
interiot;International Conference on Interoperability Safety and Security in IoT (InterIoT)
b;Formal Specification and Development in B (B)
ifita;International Forum on Information Technology and Applications (IFITA)
hefa;Higher Education for All (HEFA)
icccri;International Conference on Cloud Computing Research and Innovation (ICCCRI)
codaspy;Conference on Data and Application Security and Privacy (CODASPY)
